,municipio,latitude,longitude,ddd,estado
1663,Enéas Marques,-25.9445,-53.1659,46,PR
1664,Engenheiro Beltrão,-23.797,-52.2659,44,PR
1665,Engenheiro Caldas,-19.2065,-42.0503,33,MG
1666,Engenheiro Coelho,-22.4836,-47.211,19,SP
1667,Engenheiro Navarro,-17.2831,-43.947,38,MG
1668,Engenheiro Paulo de Frontin,-22.5498,-43.6827,24,RJ
1669,Engenho Velho,-27.706,-52.9145,54,RS
1670,Entre Folhas,-19.6218,-42.2306,33,MG
1671,Entre Rios,-11.9392,-38.0871,75,BA
1672,Entre Rios,-26.7225,-52.5585,49,SC
1673,Entre Rios de Minas,-20.6706,-44.0654,31,MG
1674,Entre Rios do Oeste,-24.7042,-54.2385,45,PR
1675,Entre Rios do Sul,-27.5298,-52.7347,54,RS
1676,Entre-Ijuís,-28.3686,-54.2686,55,RS
1677,Envira,-7.43789,-70.0281,97,AM
1678,Epitaciolândia,-11.0188,-68.7341,68,AC
1679,Equador,-6.93835,-36.717,84,RN
1680,Erebango,-27.8544,-52.3005,54,RS
1681,Erechim,-27.6364,-52.2697,54,RS
1682,Ererê,-6.02751,-38.3461,88,CE
1683,Érico Cardoso,-13.4215,-42.1352,77,BA
1684,Ermo,-28.9869,-49.643,48,SC
1685,Ernestina,-28.4977,-52.5836,54,RS
1686,Erval Grande,-27.3926,-52.574,54,RS
1687,Erval Seco,-27.5443,-53.5005,55,RS
1688,Erval Velho,-27.2743,-51.443,49,SC
1689,Ervália,-20.8403,-42.6544,32,MG
1690,Escada,-8.35672,-35.2241,81,PE
1691,Esmeralda,-28.0518,-51.1933,54,RS
1692,Esmeraldas,-19.764,-44.3065,31,MG
1693,Espera Feliz,-20.6508,-41.9119,32,MG
1694,Esperança,-7.02278,-35.8597,83,PB
1695,Esperança do Sul,-27.3603,-53.9891,55,RS
1696,Esperança Nova,-23.7238,-53.811,44,PR
1697,Esperantina,-5.36593,-48.5378,63,TO
1698,Esperantina,-3.88863,-42.2324,86,PI
1699,Esperantinópolis,-4.87938,-44.6926,99,MA
1700,Espigão Alto do Iguaçu,-25.4216,-52.8348,46,PR
1701,Espigão D'Oeste,-11.5266,-61.0252,69,RO
1702,Espinosa,-14.9249,-42.809,38,MG
1703,Espírito Santo,-6.33563,-35.3052,84,RN
1704,Espírito Santo do Dourado,-22.0454,-45.9548,35,MG
1705,Espírito Santo do Pinhal,-22.1909,-46.7477,19,SP
1706,Espírito Santo do Turvo,-22.6925,-49.4341,14,SP
1707,Esplanada,-11.7942,-37.9432,75,BA
1708,Espumoso,-28.7286,-52.8461,54,RS
1709,Estação,-27.9135,-52.2635,54,RS
1710,Estância,-11.2659,-37.4484,79,SE
1711,Estância Velha,-29.6535,-51.1843,51,RS
1712,Esteio,-29.852,-51.1841,51,RS
1713,Estiva,-22.4577,-46.0191,35,MG
1714,Estiva Gerbi,-22.2713,-46.9481,19,SP
1715,Estreito,-6.56077,-47.4431,99,MA
1716,Estrela,-29.5002,-51.9495,51,RS
1717,Estrela d'Oeste,-20.2875,-50.4049,17,SP
1718,Estrela Dalva,-21.7412,-42.4574,32,MG
1719,Estrela de Alagoas,-9.39089,-36.7644,82,AL
1720,Estrela do Indaiá,-19.5169,-45.7859,37,MG
1721,Estrela do Norte,-13.8665,-49.0716,62,GO
1722,Estrela do Norte,-22.4859,-51.6632,18,SP
1723,Estrela do Sul,-18.7399,-47.6956,34,MG
1724,Estrela Velha,-29.1713,-53.1639,51,RS
1725,Euclides da Cunha,-10.5078,-39.0153,75,BA
1726,Euclides da Cunha Paulista,-22.5545,-52.5928,18,SP
1727,Eugênio de Castro,-28.5315,-54.1506,55,RS
1728,Eugenópolis,-21.1002,-42.1878,32,MG
1729,Eunápolis,-16.3715,-39.5821,73,BA
1730,Eusébio,-3.8925,-38.4559,85,CE
1731,Ewbank da Câmara,-21.5498,-43.5068,32,MG
1732,Extrema,-22.854,-46.3178,35,MG
1733,Extremoz,-5.70143,-35.3048,84,RN
1734,Exu,-7.50364,-39.7238,87,PE
1735,Fagundes,-7.34454,-35.7931,83,PB
1736,Fagundes Varela,-28.8794,-51.7014,54,RS
1737,Faina,-15.4473,-50.3622,62,GO
1738,Fama,-21.4089,-45.8286,35,MG
1739,Faria Lemos,-20.8097,-42.0213,32,MG
1740,Farias Brito,-6.92146,-39.5651,88,CE
1741,Faro,-2.16805,-56.7405,93,PA
1742,Farol,-24.0958,-52.6217,44,PR
1743,Farroupilha,-29.2227,-51.3419,54,RS
1744,Fartura,-23.3916,-49.5124,14,SP
1745,Fartura do Piauí,-9.48342,-42.7912,89,PI
1746,Fátima,-10.7603,-48.9076,63,TO
1747,Fátima,-10.616,-38.2239,75,BA
1748,Fátima do Sul,-22.3789,-54.5131,67,MS
1749,Faxinal,-24.0077,-51.3227,43,PR
1750,Faxinal do Soturno,-29.5788,-53.4484,55,RS
1751,Faxinal dos Guedes,-26.8451,-52.2596,49,SC
1752,Faxinalzinho,-27.4238,-52.6789,54,RS
1753,Fazenda Nova,-16.1834,-50.7781,62,GO
1754,Fazenda Rio Grande,-25.6624,-49.3073,41,PR
1755,Fazenda Vilanova,-29.5885,-51.8217,51,RS
1756,Feijó,-8.17054,-70.351,68,AC
1757,Feira da Mata,-14.2044,-44.2744,77,BA
1758,Feira de Santana,-12.2664,-38.9663,75,BA
1759,Feira Grande,-9.89859,-36.6815,82,AL
1760,Feira Nova,-7.94704,-35.3801,81,PE
1761,Feira Nova,-10.2616,-37.3147,79,SE
1762,Feira Nova do Maranhão,-6.96508,-46.6786,99,MA
1763,Felício dos Santos,-18.0755,-43.2422,38,MG
1764,Felipe Guerra,-5.59274,-37.6875,84,RN
1765,Felisburgo,-16.6348,-40.7605,33,MG
1766,Felixlândia,-18.7507,-44.9004,38,MG
1767,Feliz,-29.4527,-51.3032,51,RS
1768,Feliz Deserto,-10.2935,-36.3028,82,AL
1769,Feliz Natal,-12.385,-54.9227,66,MT
1770,Fênix,-23.9135,-51.9805,44,PR
1771,Fernandes Pinheiro,-25.4107,-50.5456,42,PR
1772,Fernandes Tourinho,-19.1541,-42.0803,33,MG
1773,Fernando de Noronha,-3.8396,-32.4107,81,PE
1774,Fernando Falcão,-6.16207,-44.8979,99,MA
1775,Fernando Pedroza,-5.69096,-36.5282,84,RN
1776,Fernando Prestes,-21.2661,-48.6874,16,SP
1777,Fernandópolis,-20.2806,-50.2471,17,SP
1778,Fernão,-22.3607,-49.5187,14,SP
1779,Ferraz de Vasconcelos,-23.5411,-46.371,11,SP
1780,Ferreira Gomes,0.857256,-51.1795,96,AP
1781,Ferreiros,-7.44666,-35.2373,81,PE
1782,Ferros,-19.2343,-43.0192,31,MG
1783,Fervedouro,-20.726,-42.279,32,MG
1784,Figueira,-23.8455,-50.4031,43,PR
1785,Figueirão,-18.6782,-53.638,67,MS
1786,Figueirópolis,-12.1312,-49.1748,63,TO
1787,Figueirópolis D'Oeste,-15.4439,-58.7391,65,MT
1788,Filadélfia,-7.33501,-47.4954,63,TO
1789,Filadélfia,-10.7405,-40.1437,74,BA
1790,Firmino Alves,-14.9823,-39.9269,73,BA
1791,Firminópolis,-16.5778,-50.304,64,GO
1792,Flexeiras,-9.27281,-35.7139,82,AL
1793,Flor da Serra do Sul,-26.2523,-53.3092,46,PR
1794,Flor do Sertão,-26.7811,-53.3505,49,SC
1795,Flora Rica,-21.6727,-51.3821,18,SP
1796,Floraí,-23.3178,-52.3029,44,PR
1797,Florânia,-6.12264,-36.8226,84,RN
1798,Floreal,-20.6752,-50.1513,17,SP
1799,Flores,-7.85842,-37.9715,87,PE
1800,Flores da Cunha,-29.0261,-51.1875,54,RS
1801,Flores de Goiás,-14.4451,-47.0417,62,GO
1802,Flores do Piauí,-7.78793,-42.918,89,PI
1803,Floresta,-23.6031,-52.0807,44,PR
1804,Floresta,-8.60307,-38.5687,87,PE
1805,Floresta Azul,-14.8629,-39.6579,73,BA
1806,Floresta do Araguaia,-7.55335,-49.7125,94,PA
1807,Floresta do Piauí,-7.46682,-41.7883,89,PI
1808,Florestal,-19.888,-44.4318,31,MG
1809,Florestópolis,-22.8623,-51.3882,43,PR
1810,Floriano,-6.77182,-43.0241,89,PI
1811,Floriano Peixoto,-27.8614,-52.0838,54,RS
1812,Florianópolis,-27.5945,-48.5477,48,SC
1813,Flórida,-23.0847,-51.9546,44,PR
1814,Flórida Paulista,-21.6127,-51.1724,18,SP
1815,Florínia,-22.868,-50.6814,18,SP
1816,Fonte Boa,-2.52342,-66.0942,97,AM
1817,Fontoura Xavier,-28.9817,-52.3445,54,RS
1818,Formiga,-20.4618,-45.4268,37,MG
1819,Formigueiro,-30.0035,-53.4959,55,RS
1820,Formosa,-15.54,-47.337,61,DF
1821,Formosa da Serra Negra,-6.44017,-46.1916,99,MA
1822,Formosa do Oeste,-24.2951,-53.3114,44,PR
1823,Formosa do Rio Preto,-11.0328,-45.193,77,BA
1824,Formosa do Sul,-26.6453,-52.7946,49,SC
1825,Formoso,-13.6499,-48.8775,62,GO
1826,Formoso,-14.9446,-46.2371,38,MG
1827,Formoso do Araguaia,-11.7976,-49.5316,63,TO
1828,Forquetinha,-29.3828,-52.0981,51,RS
1829,Forquilha,-3.79945,-40.2634,88,CE
1830,Forquilhinha,-28.7454,-49.4785,48,SC
1831,Fortaleza,-3.71664,-38.5423,85,CE
1832,Fortaleza de Minas,-20.8508,-46.712,35,MG
1833,Fortaleza do Tabocão,-9.05611,-48.5206,63,TO
1834,Fortaleza dos Nogueiras,-6.95983,-46.1749,99,MA
1835,Fortaleza dos Valos,-28.7986,-53.2249,55,RS
1836,Fortim,-4.45126,-37.7981,88,CE
1837,Fortuna,-5.72792,-44.1565,99,MA
1838,Fortuna de Minas,-19.5578,-44.4472,31,MG
1839,Foz do Iguaçu,-25.5427,-54.5827,45,PR
1840,Foz do Jordão,-25.7371,-52.1188,42,PR
1841,Fraiburgo,-27.0233,-50.92,49,SC
1842,Franca,-20.5352,-47.4039,16,SP
1843,Francinópolis,-6.39334,-42.2591,89,PI
1844,Francisco Alves,-24.0667,-53.8461,44,PR
1845,Francisco Ayres,-6.62606,-42.6881,89,PI
1846,Francisco Badaró,-16.9883,-42.3568,33,MG
1847,Francisco Beltrão,-26.0817,-53.0535,46,PR
1848,Francisco Dantas,-6.07234,-38.1212,84,RN
1849,Francisco Dumont,-17.3107,-44.2317,38,MG
1850,Francisco Macedo,-7.331,-40.788,89,PI
1851,Francisco Morato,-23.2792,-46.7448,11,SP
1852,Francisco Sá,-16.4827,-43.4896,38,MG
1853,Francisco Santos,-6.99491,-41.1288,89,PI
1854,Franciscópolis,-17.9578,-42.0094,33,MG
1855,Franco da Rocha,-23.3229,-46.729,11,SP
1856,Frecheirinha,-3.75557,-40.818,88,CE
1857,Frederico Westphalen,-27.3586,-53.3958,55,RS
1858,Frei Gaspar,-18.0709,-41.4325,33,MG
1859,Frei Inocêncio,-18.5556,-41.9121,33,MG
1860,Frei Lagonegro,-18.1751,-42.7617,33,MG
1861,Frei Martinho,-6.39759,-36.4526,83,PB
1862,Frei Miguelinho,-7.93918,-35.9113,81,PE
1863,Frei Paulo,-10.5513,-37.5279,79,SE
1864,Frei Rogério,-27.175,-50.8076,49,SC
1865,Fronteira,-20.2748,-49.1984,34,MG
1866,Fronteira dos Vales,-16.8898,-40.923,33,MG
1867,Fronteiras,-7.08173,-40.6146,89,PI
1868,Fruta de Leite,-16.1225,-42.5288,38,MG
1869,Frutal,-20.0259,-48.9355,34,MG
1870,Frutuoso Gomes,-6.15669,-37.8375,84,RN
1871,Fundão,-19.937,-40.4078,27,ES
1872,Funilândia,-19.3661,-44.061,31,MG
1873,Gabriel Monteiro,-21.5294,-50.5573,18,SP
1874,Gado Bravo,-7.58279,-35.7899,83,PB
1875,Gália,-22.2918,-49.5504,14,SP
1876,Galiléia,-19.0005,-41.5387,33,MG
1877,Galinhos,-5.0909,-36.2754,84,RN
1878,Galvão,-26.4549,-52.6875,49,SC
1879,Gameleira,-8.5798,-35.3846,81,PE
1880,Gameleira de Goiás,-16.4854,-48.6454,62,GO
1881,Gameleiras,-15.0829,-43.125,38,MG
1882,Gandu,-13.7441,-39.4747,73,BA
1883,Garanhuns,-8.88243,-36.4966,87,PE
1884,Gararu,-9.9722,-37.0869,79,SE
1885,Garça,-22.2125,-49.6546,14,SP
1886,Garibaldi,-29.259,-51.5352,54,RS
1887,Garopaba,-28.0275,-48.6192,48,SC
1888,Garrafão do Norte,-1.92986,-47.0505,91,PA
1889,Garruchos,-28.1944,-55.6383,55,RS
1890,Garuva,-26.0292,-48.852,47,SC
1891,Gaspar,-26.9336,-48.9534,47,SC
1892,Gastão Vidigal,-20.7948,-50.1912,17,SP
1893,Gaúcha do Norte,-13.2443,-53.0809,66,MT
1894,Gaurama,-27.5856,-52.0915,54,RS
1895,Gavião,-11.4688,-39.7757,75,BA
1896,Gavião Peixoto,-21.8367,-48.4957,16,SP
1897,Geminiano,-7.15476,-41.3409,89,PI
1898,General Câmara,-29.9032,-51.7612,51,RS
1899,General Carneiro,-15.7094,-52.7574,66,MT
1900,General Carneiro,-26.425,-51.3172,42,PR
1901,General Maynard,-10.6835,-36.9838,79,SE
1902,General Salgado,-20.6485,-50.364,17,SP
1903,General Sampaio,-4.04351,-39.454,85,CE
1904,Gentil,-28.4316,-52.0337,54,RS
1905,Gentio do Ouro,-11.4342,-42.5077,74,BA
1906,Getulina,-21.7961,-49.9312,14,SP
1907,Getúlio Vargas,-27.8911,-52.2294,54,RS
1908,Gilbués,-9.83001,-45.3423,89,PI
1909,Girau do Ponciano,-9.88404,-36.8316,82,AL
1910,Giruá,-28.0297,-54.3517,55,RS
1911,Glaucilândia,-16.8481,-43.692,38,MG
1912,Glicério,-21.3812,-50.2123,18,SP
1913,Glória,-9.34382,-38.2544,75,BA
1914,Glória D'Oeste,-15.768,-58.3108,65,MT
1915,Glória de Dourados,-22.4136,-54.2335,67,MS
1916,Glória do Goitá,-8.00568,-35.2904,81,PE
1917,Glorinha,-29.8798,-50.7734,51,RS
1918,Godofredo Viana,-1.40259,-45.7795,98,MA
1919,Godoy Moreira,-24.173,-51.9246,43,PR
1920,Goiabeira,-18.9807,-41.2235,33,MG
1921,Goianá,-21.536,-43.1957,32,MG
1922,Goiana,-7.5606,-34.9959,81,PE
